sku,nombre,precio,stock,categoria,descripcion,imagenUrl
SKU-1,Producto 1,10.50,1,Hogar,Descripción del producto 1,https://cdn.example.com/img/1.jpg
SKU-2,Producto 2,20.50,2,Ropa,Descripción del producto 2,https://cdn.example.com/img/2.jpg
SKU-3,Producto 3,30.50,3,Deportes,Descripción del producto 3,https://cdn.example.com/img/3.jpg
SKU-4,Producto 4,40.50,4,Juguetes,Descripción del producto 4,https://cdn.example.com/img/4.jpg
SKU-5,Producto 5,50.50,5,Libros,Descripción del producto 5,https://cdn.example.com/img/5.jpg
SKU-6,Producto 6,60.50,6,Alimentos,Descripción del producto 6,https://cdn.example.com/img/6.jpg
,Producto 7,70.50,7,Belleza,Descripción del producto 7,https://cdn.example.com/img/7.jpg
SKU-8,Producto 8,80.50,8,Herramientas,Descripción del producto 8,https://cdn.example.com/img/8.jpg
SKU-9,Producto 9,90.50,9,Mascotas,Descripción del producto 9,https://cdn.example.com/img/9.jpg
SKU-10,Producto 10,100.50,10,Electrónica,Descripción del producto 10,https://cdn.example.com/img/10.jpg
SKU-11,,110.50,11,Hogar,Descripción del producto 11,https://cdn.example.com/img/11.jpg
SKU-12,Producto 12,120.50,12,Ropa,Descripción del producto 12,https://cdn.example.com/img/12.jpg
SKU-13,Producto 13,-130.50,13,Deportes,Descripción del producto 13,https://cdn.example.com/img/13.jpg
,Producto 14,140.50,14,Juguetes,Descripción del producto 14,https://cdn.example.com/img/14.jpg
SKU-15,Producto 15,150.50,15,Libros,Descripción del producto 15,https://cdn.example.com/img/15.jpg
SKU-16,Producto 16,160.50,16,Alimentos,Descripción del producto 16,https://cdn.example.com/img/16.jpg
SKU-17,Producto 17,170.50,17.75,Belleza,Descripción del producto 17,https://cdn.example.com/img/17.jpg
SKU-18,Producto 18,180.50,18,Herramientas,Descripción del producto 18,https://cdn.example.com/img/18.jpg
SKU-19,Producto 19,190.50,-19,Mascotas,Descripción del producto 19,https://cdn.example.com/img/19.jpg
SKU-20,Producto 20,200.50,20,Electrónica,Descripción del producto 20,https://cdn.example.com/img/20.jpg
,Producto 21,210.50,21,Hogar,Descripción del producto 21,https://cdn.example.com/img/21.jpg
SKU-22,,220.50,22,Ropa,Descripción del producto 22,https://cdn.example.com/img/22.jpg
SKU-23,Producto 23,230.50,23,,Descripción del producto 23,https://cdn.example.com/img/23.jpg
SKU-24,Producto 24,240.50,24,Juguetes,Descripción del producto 24,https://cdn.example.com/img/24.jpg
SKU-25,Producto 25,250.50,25,Libros,Descripción del producto 25,https://cdn.example.com/img/25.jpg
SKU-26,Producto 26,-260.50,26,Alimentos,Descripción del producto 26,https://cdn.example.com/img/26.jpg
SKU-27,Producto 27,270.50,27,Belleza,Descripción del producto 27,https://cdn.example.com/img/27.jpg
,Producto 28,280.50,28,Herramientas,Descripción del producto 28,https://cdn.example.com/img/28.jpg
SKU-1,Producto 29,290.50,29,Mascotas,Descripción del producto 29,https://cdn.example.com/img/29.jpg
SKU-30,Producto 30,300.50,30,Electrónica,Descripción del producto 30,https://cdn.example.com/img/30.jpg
SKU-31,Producto 31,no-es-un-numero,31,Hogar,Descripción del producto 31,https://cdn.example.com/img/31.jpg
SKU-32,Producto 32,320.50,32,Ropa,Descripción del producto 32,https://cdn.example.com/img/32.jpg
SKU-33,,330.50,33,Deportes,Descripción del producto 33,https://cdn.example.com/img/33.jpg
SKU-34,Producto 34,340.50,34.75,Juguetes,Descripción del producto 34,https://cdn.example.com/img/34.jpg
,Producto 35,350.50,35,Libros,Descripción del producto 35,https://cdn.example.com/img/35.jpg
